NA_L2CODE,COLOR,NOUMENON,ALPHA,XC,RECORDIST,SRC
13.1,#b9d87e,Red-faced Warbler,refwar,XC616634,Richard E. Webster,https://xeno-canto.org/sounds/uploaded/KZYUWIRZVH/XC616634-WARBLER_Red-fac%20No%201%20Rucker%20Cyn%201900m%20060320%200726.mp3
13.2,#a8ca60,Aztec Thrush,aztthr,XC344524,Manuel Grosselet,https://xeno-canto.org/sounds/uploaded/ILUHRFXDNU/XC344524-Aztec%20Thrush%20Llano%20grande%20oax.mp3
13.3,#bedb8c,Maroon-fronted Parrot,mafpar1,XC330224,Andrew Spencer,https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC330224-Maroon-fronted%20Parrot2016-6-8-12.mp3
13.4,#6da662,,,,,
13.5,#95c28b,,,,,
13.6,#72c2bb,Pink-headed Warbler,pihwar1,XC265590,Andrew Spencer,https://xeno-canto.org/sounds/uploaded/CDTGHVBGZP/XC265590-Pink-headed%20Warbler2015-4-2-2.mp3
14.1,#e98d94,,,,,
14.2,#eda7b7,,,,,
14.3,#f08365,,,,,
14.4,#f6a1a7,,,,,
14.5,#d96576,,,,,
14.6,#eca68e,,,,,
15.1,#a96fae,,,,,
15.2,#d8a7cb,,,,,
15.3,#9784ba,,,,,
15.4,#c774af,American White Ibis,whiibi,XC571048,Manuel Grosselet,https://xeno-canto.org/sounds/uploaded/ILUHRFXDNU/XC571048-White-Ibis%20flight%20topo%20june%2023%20700.mp3
15.5,#c656a0,,,,,
15.6,#cbbbda,,,,,
